index,kernelsize_fl,stride_fl,filters_fl,filters_sl,kernelsize_sl,filters_restl,kernelsize_restl,val_acc,test_acc,params
0,256,16,64,64,6,64,6,0.936758893,0.936176649,140485
1,256,16,64,64,6,64,3,0.944664032,0.944343618,116421
2,256,16,64,64,6,32,6,0.865612648,0.879007864,87653
3,256,16,64,64,6,32,3,0.913043478,0.914095584,81765
4,256,16,64,64,6,16,6,0.703557312,0.685117967,70453
5,256,16,64,64,6,16,3,0.66798419,0.674228675,69045
6,256,16,64,64,6,8,6,0.355731225,0.351784634,64157
7,256,16,64,64,6,8,3,0.446640316,0.452208106,63837
8,256,16,64,64,3,64,6,0.932806324,0.930127042,128197
9,256,16,64,64,3,64,3,0.90513834,0.908650938,104133
10,256,16,64,64,3,32,6,0.841897233,0.852994555,75365
11,256,16,64,64,3,32,3,0.893280632,0.89292196,69477
12,256,16,64,64,3,16,6,0.541501976,0.550211736,58165
13,256,16,64,64,3,16,3,0.723320158,0.716575923,56757
14,256,16,64,64,3,8,6,0.347826087,0.352389595,51869
15,256,16,64,64,3,8,3,0.339920949,0.33968542,51549
16,256,16,64,32,6,64,6,0.95256917,0.947973382,115749
17,256,16,64,32,6,64,3,0.956521739,0.961282517,97829
18,256,16,64,32,6,32,6,0.845849802,0.835148215,69061
19,256,16,64,32,6,32,3,0.901185771,0.9107683,66245
20,256,16,64,32,6,16,6,0.505928854,0.529038113,54933
21,256,16,64,32,6,16,3,0.687747036,0.651240169,55061
22,256,16,64,32,6,8,6,0.33201581,0.322746521,50173
23,256,16,64,32,6,8,3,0.403162055,0.39322444,50621
24,256,16,64,32,3,64,6,0.936758893,0.926799758,109605
25,256,16,64,32,3,64,3,0.928853755,0.942831216,91685
26,256,16,64,32,3,32,6,0.873517787,0.871748336,62917
27,256,16,64,32,3,32,3,0.889328063,0.896854204,60101
28,256,16,64,32,3,16,6,0.517786561,0.523593466,48789
29,256,16,64,32,3,16,3,0.66798419,0.668481549,48917
30,256,16,64,32,3,8,6,0.355731225,0.351179673,44029
31,256,16,64,32,3,8,3,0.367588933,0.340290381,44477
32,256,16,64,16,6,64,6,0.944664032,0.938294011,103381
33,256,16,64,16,6,64,3,0.968379447,0.9646098,88533
34,256,16,64,16,6,32,6,0.833992095,0.824258923,59765
35,256,16,64,16,6,32,3,0.814229249,0.819419238,58485
36,256,16,64,16,6,16,6,0.628458498,0.616757411,47173
37,256,16,64,16,6,16,3,0.640316206,0.642165759,48069
38,256,16,64,16,6,8,6,0.280632411,0.297943134,43181
