index,kernelsize_fl,stride_fl,filters_fl,filters_sl,kernelsize_sl,filters_restl,kernelsize_restl,val_acc,test_acc,params
0,16,16,256,256,6,256,6,0.682051282,0.656875266,1621550
1,16,16,256,256,6,256,3,0.687179487,0.659003831,1082926
2,16,16,256,256,6,128,6,0.841025641,0.829714772,820398
3,16,16,256,256,6,128,3,0.841025641,0.829714772,649390
4,16,16,256,256,6,64,6,0.841025641,0.82801192,567278
5,16,16,256,256,6,64,3,0.841025641,0.826734781,506350
6,16,16,256,256,6,32,6,0.897435897,0.896551724,477582
7,16,16,256,256,6,32,3,1,1,453262
8,16,16,256,256,6,16,6,0.923076923,0.918263091,441950
9,16,16,256,256,6,16,3,1,0.996168582,431326
10,16,16,256,256,6,8,6,0.979487179,0.97232865,426438
11,16,16,256,256,6,8,3,0.841025641,0.828863346,421510
12,16,16,256,256,3,256,6,0.671794872,0.65602384,1424942
13,16,16,256,256,3,256,3,0.841025641,0.829714772,886318
14,16,16,256,256,3,128,6,0.841025641,0.829289059,623790
15,16,16,256,256,3,128,3,0.830769231,0.81694338,452782
16,16,16,256,256,3,64,6,0.841025641,0.822051937,370670
17,16,16,256,256,3,64,3,1,0.998297148,309742
18,16,16,256,256,3,32,6,0.841025641,0.829289059,280974
19,16,16,256,256,3,32,3,1,0.998722861,256654
20,16,16,256,256,3,16,6,1,0.993188591,245342
21,16,16,256,256,3,16,3,1,0.997020009,234718
22,16,16,256,256,3,8,6,0.974358974,0.969774372,229830
23,16,16,256,256,3,8,3,0.861538462,0.860366113,224902
24,16,16,256,128,6,256,6,0.687179487,0.659429544,1227694
25,16,16,256,128,6,256,3,0.687179487,0.659429544,787374
26,16,16,256,128,6,128,6,0.841025641,0.829289059,524846
27,16,16,256,128,6,128,3,0.841025641,0.829289059,402990
28,16,16,256,128,6,64,6,0.841025641,0.829714772,320878
29,16,16,256,128,6,64,3,0.841025641,0.829289059,284526
30,16,16,256,128,6,32,6,1,0.998297148,255758
31,16,16,256,128,6,32,3,1,0.997445722,243726
32,16,16,256,128,6,16,6,0.98974359,0.985951469,232414
33,16,16,256,128,6,16,3,0.907692308,0.898254576,227934
34,16,16,256,128,6,8,6,0.964102564,0.971902937,223046
35,16,16,256,128,6,8,3,0.841025641,0.826309068,221190
36,16,16,256,128,3,256,6,0.687179487,0.659429544,1129390
37,16,16,256,128,3,256,3,0.687179487,0.659429544,689070
38,16,16,256,128,3,128,6,0.712820513,0.706683695,426542
39,16,16,256,128,3,128,3,0.841025641,0.829714772,304686
40,16,16,256,128,3,64,6,0.841025641,0.829289059,222574
41,16,16,256,128,3,64,3,0.841025641,0.827586207,186222
42,16,16,256,128,3,32,6,0.841025641,0.828863346,157454
43,16,16,256,128,3,32,3,1,0.985951469,145422
44,16,16,256,128,3,16,6,0.876923077,0.853980417,134110
45,16,16,256,128,3,16,3,1,0.999574287,129630
46,16,16,256,128,3,8,6,0.938461538,0.93614304,124742
47,16,16,256,128,3,8,3,0.851282051,0.842486164,122886
48,16,16,256,64,6,256,6,0.682051282,0.658152405,1030766
49,16,16,256,64,6,256,3,0.528205128,0.489144317,639598
50,16,16,256,64,6,128,6,0.682051282,0.659429544,377070
51,16,16,256,64,6,128,3,0.682051282,0.659429544,279790
52,16,16,256,64,6,64,6,0.830769231,0.80161771,197678
53,16,16,256,64,6,64,3,0.841025641,0.829289059,173614
54,16,16,256,64,6,32,6,0.98974359,0.979565773,144846
55,16,16,256,64,6,32,3,0.933333333,0.923371648,138958
56,16,16,256,64,6,16,6,0.928205128,0.913154534,127646
57,16,16,256,64,6,16,3,1,1,126238
58,16,16,256,64,6,8,6,0.979487179,0.962111537,121350
59,16,16,256,64,6,8,3,0.861538462,0.838654747,121030
60,16,16,256,64,3,256,6,0.528205128,0.489144317,981614
61,16,16,256,64,3,256,3,0.528205128,0.489144317,590446
62,16,16,256,64,3,128,6,0.682051282,0.658152405,327918
63,16,16,256,64,3,128,3,0.528205128,0.489144317,230638
64,16,16,256,64,3,64,6,0.682051282,0.659003831,148526
65,16,16,256,64,3,64,3,0.841025641,0.820349085,124462
66,16,16,256,64,3,32,6,0.98974359,0.982545764,95694
67,16,16,256,64,3,32,3,0.994871795,0.990208599,89806
68,16,16,256,64,3,16,6,0.835897436,0.810131971,78494
69,16,16,256,64,3,16,3,1,0.986377182,77086
70,16,16,256,64,3,8,6,0.820512821,0.775223499,72198
71,16,16,256,64,3,8,3,0.984615385,0.985100043,71878
72,16,16,256,32,6,256,6,0.528205128,0.489144317,932302
73,16,16,256,32,6,256,3,0.528205128,0.489144317,565710
74,16,16,256,32,6,128,6,0.835897436,0.819923372,303182
75,16,16,256,32,6,128,3,0.738461538,0.697743721,218190
76,16,16,256,32,6,64,6,0.841025641,0.829714772,136078
77,16,16,256,32,6,64,3,1,0.997871435,118158
78,16,16,256,32,6,32,6,0.841025641,0.828437633,89390
79,16,16,256,32,6,32,3,0.841025641,0.82801192,86574
80,16,16,256,32,6,16,6,0.897435897,0.88633461,75262
81,16,16,256,32,6,16,3,1,1,75390
82,16,16,256,32,6,8,6,0.943589744,0.923371648,70502
83,16,16,256,32,6,8,3,0.841025641,0.829289059,70950
84,16,16,256,32,3,256,6,0.528205128,0.489144317,907726
85,16,16,256,32,3,256,3,0.528205128,0.489144317,541134
86,16,16,256,32,3,128,6,0.666666667,0.643252448,278606
87,16,16,256,32,3,128,3,0.841025641,0.823754789,193614
88,16,16,256,32,3,64,6,0.841025641,0.829289059,111502
89,16,16,256,32,3,64,3,0.994871795,0.990634312,93582
90,16,16,256,32,3,32,6,0.841025641,0.829289059,64814
91,16,16,256,32,3,32,3,0.887179487,0.885057471,61998
92,16,16,256,32,3,16,6,0.784615385,0.763303533,50686
93,16,16,256,32,3,16,3,1,0.992762878,50814
94,16,16,256,32,3,8,6,0.866666667,0.842486164,45926
95,16,16,256,32,3,8,3,0.856410256,0.852703278,46374
96,16,16,256,16,6,256,6,0.682051282,0.659003831,883070
97,16,16,256,16,6,256,3,0.682051282,0.659003831,528766
98,16,16,256,16,6,128,6,0.682051282,0.659429544,266238
99,16,16,256,16,6,128,3,0.630769231,0.571732652,187390
100,16,16,256,16,6,64,6,0.841025641,0.829714772,105278
101,16,16,256,16,6,64,3,0.841025641,0.829714772,90430
102,16,16,256,16,6,32,6,1,0.982971477,61662
103,16,16,256,16,6,32,3,0.841025641,0.820349085,60382
104,16,16,256,16,6,16,6,0.928205128,0.892294593,49070
105,16,16,256,16,6,16,3,1,0.992337165,49966
106,16,16,256,16,6,8,6,0.902564103,0.896977437,45078
107,16,16,256,16,6,8,3,0.861538462,0.841209025,45910
108,16,16,256,16,3,256,6,0.661538462,0.641975309,870782
109,16,16,256,16,3,256,3,0.528205128,0.489144317,516478
