index,kernelsize_fl,stride_fl,filters_fl,filters_sl,kernelsize_sl,filters_restl,kernelsize_restl,val_acc,test_acc,params
0,16,16,256,256,6,256,6,0.713125,0.69640625,1609868
1,16,16,256,256,6,256,3,0.57375,0.548958333,1071244
2,16,16,256,256,6,128,6,0.851875,0.84125,808716
3,16,16,256,256,6,128,3,0.775625,0.79125,637708
4,16,16,256,256,6,64,6,0.856875,0.851822917,555596
5,16,16,256,256,6,64,3,0.763125,0.76390625,494668
6,16,16,256,256,6,32,6,0.7175,0.715052083,465900
7,16,16,256,256,6,32,3,0.895,0.893385417,441580
8,16,16,256,256,6,16,6,0.663125,0.6659375,430268
9,16,16,256,256,6,16,3,0.649375,0.6425,419644
10,16,16,256,256,6,8,6,0.66875,0.666927083,414756
11,16,16,256,256,6,8,3,0.670625,0.665208333,409828
12,16,16,256,256,3,256,6,0.828125,0.81703125,1413260
13,16,16,256,256,3,256,3,0.66125,0.649583333,874636
14,16,16,256,256,3,128,6,0.55125,0.539427083,612108
15,16,16,256,256,3,128,3,0.578125,0.562083333,441100
16,16,16,256,256,3,64,6,0.899375,0.901302083,358988
17,16,16,256,256,3,64,3,0.891875,0.89109375,298060
18,16,16,256,256,3,32,6,0.635,0.615364583,269292
19,16,16,256,256,3,32,3,0.51125,0.500260417,244972
20,16,16,256,256,3,16,6,0.64375,0.62625,233660
21,16,16,256,256,3,16,3,0.656875,0.649791667,223036
22,16,16,256,256,3,8,6,0.6925,0.684270833,218148
23,16,16,256,256,3,8,3,0.743125,0.724791667,213220
24,16,16,256,128,6,256,6,0.56875,0.5590625,1216012
25,16,16,256,128,6,256,3,0.78375,0.775,775692
26,16,16,256,128,6,128,6,0.75,0.736458333,513164
27,16,16,256,128,6,128,3,0.695,0.69734375,391308
28,16,16,256,128,6,64,6,0.799375,0.790520833,309196
29,16,16,256,128,6,64,3,0.825625,0.824114583,272844
30,16,16,256,128,6,32,6,0.683125,0.670885417,244076
31,16,16,256,128,6,32,3,0.7625,0.761770833,232044
32,16,16,256,128,6,16,6,0.81875,0.822291667,220732
33,16,16,256,128,6,16,3,0.77625,0.7703125,216252
34,16,16,256,128,6,8,6,0.673125,0.669114583,211364
35,16,16,256,128,6,8,3,0.62625,0.622916667,209508
36,16,16,256,128,3,256,6,0.85875,0.867291667,1117708
37,16,16,256,128,3,256,3,0.87375,0.8771875,677388
38,16,16,256,128,3,128,6,0.724375,0.739583333,414860
39,16,16,256,128,3,128,3,0.576875,0.571145833,293004
